country	source	carrier	mcc	mnc	apn	type	protocol	roaming_protocol	user	password	authtype	mmsc	mmsproxy	mmsport	proxy	port	carrier_id	mvno_type	mvno_match_data	carrier_enabled	user_visible	user_editable	network_type_bitmask	bearer_bitmask
AI	LineageOS	LIME Postpaid MMS	365	840	multimedia	mms						http://mmsc			10.20.5.34	8799								
AI	LineageOS	LIME Prepaid Internet	365	840	ppinternet	default,supl										8799								
AI	LineageOS	LIME Prepaid MMS	365	840	ppmms	mms						http://mmsc			10.20.5.34	8799								
AL	LineageOS	One Internet	276	01	internet.one	default	IP	IP																
AL	AOSP	One Telecommunications	276	01	internet.t	default,ia																		
AL	LineageOS	ONE-MMS	276	01	mms	mms						http://195.167.65.220:8002	10.10.10.20	8080										
AL	AOSP	Vodafone	276	02	vodafoneweb	default,ia,dun																		
AL	LineageOS	Vodafone AL	276	02	Twa	default,supl																		
AL	LineageOS	Vodafone AL	276	02	vodafoneweb	default,supl																		
AL	LineageOS	Vodafone AL MMS	276	02	vfalmms	mms						http://mmsc.vodafone.al	10.0.9.2	8080										
AL	AOSP	ALBTelecom	276	03	internet	default,ia																		
AM	LineageOS	Beeline AM	283	01	internet.beeline.am	default,supl			internet	internet														
AM	LineageOS	BeeLine AM MMS	283	01	mms.beeline.am	mms						http://mms/	10.3.2.205	8080										
AM	LineageOS	VivaCell	283	05	connect.vivacell.am	default,supl																		
AM	LineageOS	VivaCell-MTS Internet	283	05	inet.vivacell.am	default,supl					1													
AM	LineageOS	VivaCell-MTS MMS	283	05	mms.vivacell.am	mms					1	http://mms.vivacell.am/mmsc	83.217.226.72	8080										
AM	LineageOS	Orange AM	283	10	internet	default,supl																		
AM	LineageOS	Orange AM MMS	283	10	mms	mms						http://mms/	192.168.220.251	3128										
AM	AOSP	Orange Armenia Internet	283	10	Internet	default,ia					1						1940							
AM	AOSP	Orange Armenia MMS	283	10	mms	mms					1	http://mms/	192.168.220.251	3128			1940							
AN	AOSP	Curacao:Digicel:Internet	362	69	web.digicelcuracao.com	default,ia,dun					1						1332							
AN	AOSP	Curacao:Digicel:Mms	362	69	wap	mms					1	http://mms.digicelgroup.com	172.16.7.12	9201			1332							
AN	LineageOS	Digicel MMS	362	69	wap	mms			wapcu	wap03cur		http://mms.digicelgroup.com	172.16.7.12	8080										
AN	LineageOS	Digicel Web	362	69	web	default,supl																		
AO	AOSP	UNITEL	631	02	default	default,ia,supl											1334							
AO	LineageOS	Unitel Internet	631	02	internet.unitel.co.ao	default,supl																		
AO	LineageOS	Unitel MMS	631	02	mms.unitel.co.ao	mms						http://10.128.4.10/wapenc	10.128.2.70	8080										
AO	AOSP	MOVICEL	631	04	default	default,ia,supl											2201							
AO	LineageOS	Movicel Angola	631	04	internet.movicel.co.ao	default,supl																		
AO	LineageOS	Movicel Angola MMS	631	04	mms.movicel.co.ao	mms						http://10.33.14.180:8080	10.33.15.133	8080										
AR	LineageOS	QUAM	722	01	internet.movil	default,supl,dun			internet	internet	1													
AR	LineageOS	QUAM MMS	722	01	mms.movil	mms			mms	mms		http://mms.quam.com.ar	200.68.32.239	9090										
AR	AOSP	Servicio_WEB	722	01	internet.movil	default,ia	IPV4V6	IPV4V6	internet	internet	1						2249	gid	02					
AR	AOSP	Servicio_WEB	722	010	internet.movil	default,ia	IPV4V6	IPV4V6	internet	internet	1						2249	gid	01					
AR	LineageOS	Movistar IMS	722	07	ims	ims	IPV6	IPV6									1337							
AR	AOSP	Movistar INTERNET	722	07	wap.gprs.unifon.com.ar	default,ia,supl	IPV4V6	IPV4V6	wap	wap	1						1337							
AR	LineageOS	Movistar INTERNET	722	07	wap.gprs.unifon.com.ar	default,supl,xcap	IPV4V6	IPV4V6	wap	wap	1						1337							1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|19|20
AR	LineageOS	Movistar MMS	722	07	mms.gprs.unifon.com.ar	mms			mms	mms	1	http://mms.movistar.com.ar	200.68.32.239	8080			1337							
AR	LineageOS	Movistar XCAP(wifi)	722	07	wap.gprs.unifon.com.ar	xcap	IPV4V6	IPV4V6	wap	wap	1						1337							18
AR	AOSP	Claro AR	722	310	igprs.claro.com.ar	default,ia,supl,mms,xcap	IPV4V6	IPV4V6				http://mms.claro.com.ar					1338							
AR	LineageOS	Claro AR	722	310	igprs.claro.com.ar	default,supl			ctigprs	ctigpr999	1													
AR	AOSP	Claro AR IMS	722	310	ims	ims	IPV6	IPV6			0						1338							
AR	LineageOS	Claro AR MMS	722	310	mms.ctimovil.com.ar	mms			ctimms	ctimms999	1	http://mms.ctimovil.com.ar	170.051.255.240	8080										
AR	LineageOS	CTI	722	310	internet.ctimovil.com.ar	default,supl			guest	guest														
AR	LineageOS	Personal	722	34	datos.personal.com	default,supl			datos	datos														
AR	LineageOS	Personal	722	34	gprs.personal.com	default,supl			gprs															
AR	AOSP	Personal Datos	722	34	datos.personal.com	default,ia,supl,xcap			datos	datos	0						1341							
AR	AOSP	Personal IMS	722	34	ims	ims	IPV4V6	IPV4V6									1341							
AR	AOSP	Personal MMS	722	34	mms	mms			mms	mms	0	http://mms.personal.com	172.25.7.31	8080			1341							
AR	LineageOS	Personal MMS	722	34	mms	mms			mms	mms		http://mms.personal.com	172.25.7.31	8080										
AR	LineageOS	Personal	722	341	datos.personal.com	default,supl			datos	datos														
AR	AOSP	Personal Datos	722	341	datos.personal.com	default,ia,supl,xcap			datos	datos	0						1341							
AR	AOSP	Personal IMS	722	341	ims	ims	IPV4V6	IPV4V6									1341							
AR	AOSP	Personal MMS	722	341	mms	mms			mms	mms	0	http://mms.personal.com	172.25.7.31	8080			1341							
AR	LineageOS	Personal MMS	722	341	mms	mms			mms	mms		http://mms.personal.com	172.25.7.31	8080										
AR	LineageOS	Personal WAP	722	341	gprs.personal.com	default,supl																		
AT	AOSP	A1 HOS	232	01	hos	xcap	IPV4V6										14				false			
AT	AOSP	A1 IMS	232	01	ims	ims	IPV4V6										14				false			
AT	LineageOS	A1 Internet	232	01	a1.net	default,supl	IPV4V6		ppp@a1plus.at	ppp	1													
AT	AOSP	A1 MMS	232	01	free.A1.net	mms			ppp@a1plus.at	ppp	1	http://mmsc.a1.net	194.48.124.71	8001			14							
AT	LineageOS	A1 MMS	232	01	free.A1.net	mms			ppp@a1plus.at	ppp	1	http://mmsc.A1.net	194.48.124.71	8001										
AT	AOSP	live!	232	01	A1.net	default,ia,supl	IPV4V6		ppp@a1plus.at	ppp	1						14							
AT	AOSP	Goodspeed	232	03	uros.iot	default,ia											2512	gid	C5					
AT	AOSP	HOS	232	03	hos	mms,xcap	IPV4V6		t-mobile	tm	1	http://mmsc.t-mobile.at/servlets/mms	10.12.0.20	80							false			
AT	AOSP	T-Mobile A Internet	232	03	internet.t-mobile.at	default,ia,supl	IPV4V6		T	tm	1													
AT	LineageOS	T-Mobile A Internet	232	03	internet.t-mobile.at	default,supl			t-mobile	tm	1													
AT	LineageOS	T-Mobile A MMS	232	03	gprsmms	mms			t-mobile	tm	1	http://mmsc.t-mobile.at/servlets/mms	10.12.0.20	80										
AT	AOSP	T-Mobile IMS	232	03	ims	ims	IPV4V6														false			
AT	AOSP	HOS	232	04	hos	xcap,mms	IPV4V6		t-mobile	tm	1	http://mmsc.t-mobile.at/servlets/mms	10.12.0.20	80							false			
AT	AOSP	T-Mobile A Internet	232	04	internet.t-mobile.at	default,ia,supl	IPV4V6		t-mobile	tm	1													
AT	AOSP	T-Mobile IMS	232	04	ims	ims	IPV4V6														false			
AT	LineageOS	3 AT	232	05	drei.at	default,supl,mms						http://mmsc	213.94.78.133	8799										
AT	AOSP	IMS	232	05	ims	ims	IPV6										1344				false			
AT	AOSP	Planet 3	232	05	drei.at	default,ia,supl,mms,xcap						http://mmsc	213.94.78.133	8799			1344							
AT	AOSP	0677 mms	232	07	mmsaut	mms					1	http://mmsaut.at/send	212.95.31.50	80				imsi	23207718					
AT	AOSP	0677 mms	232	07	mmsaut	mms					1	http://mmsaut.at/send	212.95.31.50	80				imsi	23207799					
AT	AOSP	0677 web	232	07	webaut	default,ia,supl					1							imsi	23207718					
AT	AOSP	0677 web	232	07	webaut	default,ia,supl					1							imsi	23207799					
AT	AOSP	HOS	232	07	hos	mms,xcap	IPV4V6		t-mobile	tm	1	http://mmsc.t-mobile.at/servlets/mms	10.12.0.20	80			2094				false			
AT	AOSP	HoT Internet	232	07	webaut	default,ia,supl					1							imsi	23207761					
AT	LineageOS	HoT Internet	232	07	webaut	default,supl																		
AT	AOSP	HoT MMS	232	07	mmsaut	mms					1	http://mmsaut.at/send	212.95.31.50	80				imsi	23207761					
AT	LineageOS	HoT MMS	232	07	mmsaut	mms						http://mmsaut.at/send	212.95.31.50	80										
AT	AOSP	T-Mobile A Internet	232	07	internet.t-mobile.at	default,ia,supl	IPV4V6		T	tm	1						2094							
AT	AOSP	T-Mobile IMS	232	07	ims	ims	IPV4V6										2094				false			
AT	AOSP	Lycamobile	232	08	data.lycamobile.at	default,ia,supl					1						2404	spn	Lycamobile					
AT	LineageOS	3 AT	232	10	drei.at	default,supl,mms						http://mmsc	213.94.78.133	8799										
AT	AOSP	IMS	232	10	ims	ims	IPV6										1344				false			
AT	AOSP	Planet 3	232	10	drei.at	default,ia,supl,mms,xcap						http://mmsc	213.94.78.133	8799			1344							
AT	LineageOS	Bob	232	11	bob.at	default,supl	IPV4V6		data@bob.at	ppp														
AT	LineageOS	Bob MMS	232	11	mms.bob.at	mms			data@bob.at	ppp		http://mmsc.bob.at	194.48.124.7	8001										
AT	AOSP	data.bob	232	11	bob.at	default,ia,supl	IPV4V6		data@bob.at	ppp	1						14							
AT	AOSP	data.bob MMS	232	11	mms.bob.at	mms			data@bob.at	ppp	1	http://mmsc.bob.at	194.48.124.7	8001			14							
AT	AOSP	WEBAPN.AT	232	12	webapn.at	default,ia,supl	IPV4V6																	
AT	LineageOS	Yesss	232	12	webapn.at	default,supl	IPV4V6																	
AT	LineageOS	T-Mobile A Internet	232	13	internet.t-mobile.at	default,supl			t-mobile	tm	1													
AT	LineageOS	T-Mobile A MMS	232	13	gprsmms	mms			t-mobile	tm	1	http://mmsc.t-mobile.at/servlets/mms	10.12.0.20	80										
AT	AOSP	UPC mobiles Internet	232	13	Internet.at.upcmobile.com	default,ia,supl												gid	75617431					
AT	AOSP	IMS	232	14	ims	ims	IPV6																	
AT	AOSP	Planet 3	232	14	drei.at	default,ia,supl,mms,xcap						http://mmsc	213.94.78.133	8799										
AT	LineageOS	spusu	232	17	mass.at	default,supl																		
AT	AOSP	Tele2 Web	232	19	internet.tele2.at	default,ia,supl																		
AT	AOSP	Plintron	232	22	data.plintron.at						1						2424	spn	Plintron					
AU	LineageOS	Belong Internet/MMS	505	01	mdata.net.au	default,dun,supl,mms	IPV4V6	IP				http://mmsc.mdata.net.au:8003	10.1.1.180	80										
AU	LineageOS	Telstra 3G Pay by Time	505	01	telstra.pcpack	default,supl,mms				telstra														
AU	LineageOS	Telstra Broadband	505	01	telstra.internet	dun																		
AU	AOSP	Telstra HOS	505	01	hos	xcap											1345							
AU	AOSP	Telstra IMS	505	01	ims	ims	IPV4V6	IPV4V6									1345							
AU	AOSP	Telstra Internet	505	01	telstra.wap	default,ia,supl											1345							
AU	LineageOS	Telstra Internet	505	01	Telstra.wap	default,supl																		
AU	AOSP	Telstra MMS	505	01	telstra.mms	mms						http://mmsc.telstra.com:8002/	10.1.1.180	80			1345							
AU	LineageOS	Telstra MMS	505	01	Telstra.mms	mms						http://mmsc.telstra.com:8002	10.1.1.180	80										
AU	AOSP	Telstra Tethering	505	01	telstra.internet	dun	IPV4V6										1345							
AU	LineageOS	Telstra w/ Portal	505	01	telstra.internet	default,supl,mms						http://mmsc.telstra.com:8002	10.1.1.181	80	10.1.1.181	80								
AU	LineageOS	Apex Telecom	505	02	splns357	default,supl																		
AU	LineageOS	Exetel	505	02	exetel1	default,supl																		
AU	LineageOS	Optus	505	02	internet	default,supl																		
AU	LineageOS	Optus Business Mobile Broadband	505	02	yesbusiness	default,supl																		
AU	LineageOS	Optus Connect	505	02	connect	default,supl																		
AU	LineageOS	Optus ConnectCap	505	02	connectcap	default,supl																		
AU	LineageOS	Optus Internet	505	02	yesinternet	default,supl			*	*														
AU	AOSP	Optus MMS	505	02	mms	mms						http://mmsc.optus.com.au:8002/	61.88.190.10	8070			30							
AU	LineageOS	Optus MMS	505	02	mms	mms			*	*		http://mmsc.optus.com.au:8002/	61.88.190.10	8070	202.139.83.152	8070								
AU	LineageOS	Optus Preconnect	505	02	preconnect	default,supl																		
AU	AOSP	Optus Yes Internet	505	02	yesinternet	default,ia,supl											30							
AU	LineageOS	Truphone	505	02	truphone.com	default,dun												imsi	50502100					
AU	LineageOS	Virgin AU	505	02	virgininternet	default,supl			*	*														
AU	LineageOS	Virgin AU MMS	505	02	virginmms	mms			*	*		http://mms.virginvibe.com.au:8002/	202.139.083.152	8070	202.139.083.152	8070								
AU	AOSP	Virgin Internet	505	02	yesinternet	default,ia,supl											2145	imsi	505029					
AU	AOSP	Virgin MMS	505	02	mms	mms						http://mmsc.optus.com.au:8002/	61.88.190.10	8070			2145	imsi	505029					
AU	AOSP	Lebara IMS	505	03	ims	ims	IPV4V6	IPV4V6										gid	01					
AU	AOSP	Lebara Internet	505	03	live.vodafone.com	default,ia,supl	IPV4V6	IPV4V6										gid	01					
AU	AOSP	Lebara MMS	505	03	HOS	mms,xcap	IPV4V6	IPV4V6				http://pxt.vodafone.net.au/pxtsend	10.202.2.60	8080				gid	01					
AU	LineageOS	Vodafone AU	505	03	live.vodafone.com	mms,default,supl			*	*		http://pxt.vodafone.net.au/pxtsend	10.202.2.60	8080										
AU	AOSP	Vodafone IMS	505	03	ims	ims	IPV4V6	IPV4V6									15							
AU	AOSP	Vodafone live!	505	03	live.vodafone.com	default,ia,supl,mms						http://pxt.vodafone.net.au/pxtsend	10.202.2.60	8080			15							
AU	LineageOS	Vodafone Live!	505	03	live.vodafone.com	default,supl									10.202.2.60	8080								
AU	LineageOS	Vodafone PXT	505	03	live.vodafone.com	mms						http://pxt.vodafone.net.au/pxtsend	10.202.2.60	8080										
AU	LineageOS	3 AU	505	06	3services	default,supl,mms						http://mmsc.three.net.au:10021/mmsc	10.176.57.25	8799										
AU	LineageOS	VF AU PXT	505	07	live.vodafone.com	mms						http://pxt.vodafone.net.au/pxtsend	10.202.2.60	8080										
AU	AOSP	VF Internet	505	07	vfinternet.au	default,ia,supl																		
AU	LineageOS	VF Internet	505	07	vfinternet.au	default,supl																		
AU	LineageOS	Telstra Internet	505	11	Telstra.wap	default,supl																		
AU	LineageOS	Telstra MMS	505	11	Telstra.mms	mms						http://mmsc.telstra.com:8002	10.1.1.180	80										
AU	AOSP	3	505	12	3services	default,ia,supl,mms						http://mmsc.three.net.au:10021/mmsc	10.176.57.25	8799			1351							
AU	LineageOS	3	505	12	3services	default,supl,mms						http://mmsc.three.net.au:10021/mmsc	10.176.57.25	8799										
AU	AOSP	3Internet	505	12	3netaccess	default,ia,supl											1351							
AU	LineageOS	3Internet	505	12	3netaccess	default,supl																		
AU	AOSP	Lycamobile	505	19	data.lycamobile.com.au	default,ia,supl					1							spn	Lycamobile					
AU	LineageOS	Lycamobile AU	505	19	data.lycamobile.com.au	default,supl			lmau	plus														
AU	AOSP	Truphone	505	38	truphone.com	default,ia,supl,mms,dun						http://mmsc.truphone.com:1981/mm1					2143	gid	547275554B3030656E					
AU	LineageOS	Truphone	505	38	truphone.com	default,supl																		
AU	AOSP	Truphone IMS	505	38	ims	ims	IPV4V6	IPV4V6									2143	gid	547275554B3030656E					
AU	AOSP	OptiTel	505	52	optitel	default,ia,supl	IPV4V6	IPV4V6									2535							
AU	AOSP	OptiTel IMS	505	52	optitel.ims	ims											2535							
AU	AOSP	OptiTel MCX	505	52	optitel.mcx	mcx	IP	IP									2535							
AU	AOSP	OptiTel MMS	505	52	optitel.mms	mms	IPV4V6	IPV4V6				http://mmsc.opti.tel					2535							
AU	AOSP	Telstra HOS	505	71	hos		IP	IP									1345							
AU	AOSP	Telstra IMS	505	71	ims	ims	IPV4V6	IPV4V6									1345							
AU	AOSP	Telstra Internet	505	71	telstra.wap	default,ia,supl	IP	IP									1345							
AU	LineageOS	Telstra Internet	505	71	Telstra.wap	default,supl																		
AU	AOSP	Telstra MMS	505	71	telstra.mms	mms	IP	IP				http://mmsc.telstra.com:8002/	10.1.1.180	80			1345							
AU	LineageOS	Telstra MMS	505	71	Telstra.mms	mms						http://mmsc.telstra.com:8002	10.1.1.180	80										
AU	AOSP	Telstra Tethering	505	71	telstra.internet	dun	IPV4V6	IP									1345							
AU	AOSP	Telstra HOS	505	72	hos		IP	IP									1345							
AU	AOSP	Telstra IMS	505	72	ims	ims	IPV4V6	IPV4V6									1345							
AU	AOSP	Telstra Internet	505	72	telstra.wap	default,ia,supl	IP	IP									1345							
AU	LineageOS	Telstra Internet	505	72	Telstra.wap	default,supl																		
AU	AOSP	Telstra MMS	505	72	telstra.mms	mms	IP	IP				http://mmsc.telstra.com:8002/	10.1.1.180	80			1345							
AU	LineageOS	Telstra MMS	505	72	Telstra.mms	mms						http://mmsc.telstra.com:8002	10.1.1.180	80										
AU	AOSP	Telstra Tethering	505	72	telstra.internet	dun	IPV4V6	IP									1345							
AU	AOSP	Pivotel IMS	505	88	ims	ims	IPV4V6	IPV4V6									492							
AU	AOSP	Pivotel Internet	505	88	internet	default,ia,supl	IPV4V6	IPV4V6									492							
AU	AOSP	Pivotel MMS	505	88	mms	mms						http://mmsc.pivotel.com.au:8002	203.105.216.88	8088			492							
AU	LineageOS	VF AU PXT	505	88	live.vodafone.com	mms						http://pxt.vodafone.net.au/pxtsend	10.202.2.60	8080										
AU	LineageOS	VF Internet	505	88	vfinternet.au	default,supl																		
AU	AOSP	Optus Internet	505	90	internet	default,ia,supl											30							
AU	LineageOS	Optus Internet	505	90	internet	default,supl																		
AU	AOSP	Optus MMS	505	90	mms	mms						http://mmsc.optus.com.au:8002/	61.88.190.10	8070			30							
AU	LineageOS	Optus MMS	505	90	mms	mms						http://mmsc.optus.com.au:8002/	61.88.190.10	8070										
AW	LineageOS	Setar	363	01	wap.setar.aw	default,supl																		
AW	AOSP	SETAR IMS	363	01	ims	ims	IPV4V6	IPV4V6									493				false			
AW	AOSP	SETAR Internet	363	01	internet.setar.aw	default,fota,supl,xcap	IPV4V6	IPV4V6									493					true		
AW	AOSP	SETAR MMS	363	01	mms.setar.aw	mms	IPV4V6	IPV4V6				http://mms.setar.aw	201.229.65.204	8081			493					false		
AW	LineageOS	Setar MMS	363	01	mms.setar.aw	mms						http://mms.setar.aw	209.88.130.210	8081										
AW	LineageOS	Digicel MMS	363	02	wap	mms			waparuba	wap03aruba		http://mms.digicelgroup.com	172.16.7.12	8080										
AW	LineageOS	Digicel Web	363	02	web	default,supl																		
AW	AOSP	INTERNET Aruba	363	02	web.digicelaruba.com	default,ia,supl					1						2163							
AW	AOSP	MMS Digicel	363	02	wap	mms					1	http://mms.digicelgroup.com	172.16.7.12	8080			2163							
AZ	AOSP	Azercell	400	01	default	default,ia,supl											1354							
AZ	LineageOS	Azercell	400	01	internet	default,supl																		
AZ	LineageOS	Azercell MMS	400	01	mms	mms						http://mms.azercell.com/cMMSC/post	10.0.154.101	8080										
AZ	AOSP	Bakcell	400	02	default	default,ia,supl											495							
AZ	LineageOS	Bakcell	400	02	mms	default,supl,mms						http://mms.bakcell.com/mms/wapenc	213.172.91.46	8080										
AZ	AOSP	FONEX	400	03	default	default,ia,supl											1355							
AZ	LineageOS	Nar	400	04	nar	default,supl,mms			nar	nar		http://mmsc	10.20.0.40	8080										
AZ	AOSP	Nar Mobile	400	04	default	default,ia,supl											1356							
BA	LineageOS	ERONET 1GB	218	03	data4.eronet.ba	supl																		
BA	LineageOS	ERONET 4GB	218	03	data2.eronet.ba	supl																		
BA	LineageOS	ERONET 512	218	03	data1.eronet.ba	supl																		
BA	LineageOS	ERONET FLAT	218	03	data3.eronet.ba	supl																		
BA	LineageOS	ERONET MI 200	218	03	web.eronet.ba	supl																		
BA	LineageOS	ERONET MMS	218	03	mms.eronet.ba	mms						http://mms.gprs.eronet.ba/mms/wapenc	10.12.3.11	8080										
BA	LineageOS	ERONET START	218	03	gprs.eronet.ba	default,supl																		
BA	AOSP	Ht Eronet MMS	218	03	mms.eronet.ba	mms						http://mms.gprs.eronet.ba/mms/wapenc	10.12.3.11	8080			1357							
BA	AOSP	HT Eronet WEB	218	03	web.eronet.ba	default,ia,supl											1357							
BA	LineageOS	M-tel	218	05	3g1	default,supl									192.168.61.10	80								
BA	LineageOS	M-tel Frend	218	05	mtelfrend	default,supl	IP	IP																
BA	LineageOS	M-tel mms	218	05	mtelmms	mms						http://mmsc.mtel.ba/mms/wapenc	192.168.61.11	8080										
BA	AOSP	mtel	218	05	mtelsmart	default,ia,supl											1358							
BA	AOSP	mtelmms	218	05	mtelmms	mms						http://mmsc.mtel.ba/mms/wapenc	192.168.61.11	80			1358							
BA	LineageOS	BH Mobile	218	90	active.bhmobile.ba	default,supl																		
BA	LineageOS	BH Mobile MMS	218	90	mms.bhmobile.ba	mms						http://mms.bhmobile.ba/cmmsc/post	195.222.56.41	8080										
BA	AOSP	BHMobileInternet	218	90	active.bhmobile.ba	default,ia,supl	IPV4V6										1359							
BA	AOSP	BHMobileMMS	218	90	mms.bhmobile.ba	mms	IPV4V6					http://mms.bhmobile.ba/servlets/mms	195.222.56.41	8080			1359							
BB	AOSP	Barbados:Lime:Internet	342	600	internet	default,ia,dun					1						1360							
BB	AOSP	Barbados:Lime:Mms	342	600	multimedia	mms					1	http://mmsc	10.20.5.34	8799			1360							
BB	LineageOS	LIME Postpaid Internet	342	600	internet	default,supl										8799								
BB	LineageOS	LIME Postpaid MMS	342	600	multimedia	mms						http://mmsc			10.20.5.34	8799								
BB	LineageOS	LIME Prepaid Internet	342	600	ppinternet	default,supl										8799								
BB	LineageOS	LIME Prepaid MMS	342	600	ppmms	mms						http://mmsc			10.20.5.34	8799								
BB	LineageOS	Digicel BB	342	750	web.digicelbarbados.com	default,supl																		
BB	LineageOS	Digicel BB MMS	342	750	wap.digicelbarbados.com	mms			wapbarb	wap03barb		http://mme.digiceljamaica.com/servlets/mms	172.16.7.12	8080										
BD	AOSP	GP-INTERNET	470	01	gpinternet	default,ia,supl,fota,dun					0						1362							
BD	AOSP	GP-MMS	470	01	gpmms	mms					0	http://mms.gpsurf.net/servlets/mms	10.128.1.2	8080			1362							
BD	LineageOS	GP-MMS	470	01	gpmms	mms						http://mms.gpsurf.net/servlets/mms	10.128.1.2	8080										
BD	LineageOS	GP-WAP	470	01	gpwap	default,supl									10.128.1.2	8080								
BD	LineageOS	Grameenphone IMS	470	01	ims	ims	IPV4V6	IPV4V6													false			
BD	LineageOS	Grameenphone WAP	470	01	gpinternet	default,supl									10.128.1.2	8080								
BD	LineageOS	Robi	470	02	internet	default,supl																		
BD	LineageOS	Robi IMS	470	02	ims	ims	IPV4V6	IPV4V6													false			
BD	LineageOS	Robi MMS	470	02	wap	mms						http://192.168.23.4/was	192.168.023.007	9028										
BD	LineageOS	Robi WAP	470	02	wap	default,supl									10.128.1.2	9208								
BD	LineageOS	Banglalink	470	03	blweb	default,supl																		
BD	LineageOS	Banglalink IMS	470	03	ims	ims	IPV4V6	IPV4V6													false			
BD	LineageOS	Banglalink MMS	470	03	blmms	mms						http://	10.10.55.34	8799										
BD	LineageOS	Banglalink WAP	470	03	blwap	default,supl									10.10.55.34	8799								
BD	LineageOS	Tele Talk IMS	470	04	ims	ims	IPV4V6	IPV4V6													false			
BD	LineageOS	Tele Talk WAP	470	04	wap	default,supl									192.168.145.101	9201								
BD	LineageOS	Airtel BD	470	07	internet	default,supl																		
BD	LineageOS	Airtel BD MMS	470	07	mms	mms						http://10.6.0.21/servlets/mms	10.6.0.2	8080										
BD	LineageOS	Airtel BD WAP	470	07	wap	default,supl									10.6.0.2	8080								
BD	LineageOS	Airtel IMS	470	07	ims	ims	IPV4V6	IPV4V6													false			
BE	LineageOS	Eastlink Internet	206	01	wisp.mobi.eastlink.ca	default,supl																		
BE	LineageOS	Eastlink MMS	206	01	mms.mobi.eastlink.ca	mms						http://mmss.mobi.eastlink.ca	10.232.12.49	8080										
